__v,_id,city_type,country_code,end_date,id,is_cost_effective,is_safe,is_soloable,is_time_efficient,is_walk,keyword,like,start_date,type_id_a,type_id_b,type_id_c,version
0,63e30deb32f27972ae878689,old,CHN,2023-02-08T02:51:42.168Z,2aece7c6-227e-49a9-ba68-42628b9c74d5,false,true,null,false,null,역사 탐방,false,2023-02-08T02:50:19.930Z,C,F,U,1.1.0_20230206
0,63e30e0232f27972ae87868c,null,GEO,2023-02-08T02:51:07.208Z,29c0594f-ba2c-4c4f-a96a-d7541bb8e8b6,false,null,false,true,true,하이킹,false,2023-02-08T02:50:42.994Z,A,H,U,1.1.0_20230206
0,63e30e1932f27972ae87868e,null,HND,2023-02-08T02:51:18.974Z,37c55d44-d1d7-409f-b45c-45993f9d3937,false,null,true,false,true,수상레저,false,2023-02-08T02:51:05.172Z,R,H,U,1.1.0_20230206
0,63e30e7232f27972ae878699,null,TUN,2023-02-08T02:53:00.599Z,299d2472-8525-4993-bcd8-e2525cb46a47,true,null,false,true,true,현지인과의 교류,false,2023-02-08T02:52:34.705Z,R,H,U,1.1.0_20230206
0,63e30e8132f27972ae87869e,old,JPN,2023-02-08T02:53:28.386Z,90312ae8-aa4d-4258-b6eb-0c8b29838d71,false,true,null,true,null,맛있는 현지 음식,false,2023-02-08T02:52:49.316Z,C,F,D,1.1.0_20230206
0,63e30ef632f27972ae8786a6,null,MYS,2023-02-08T02:56:52.653Z,feb634a2-a097-418c-845d-2f27288b2b37,false,null,false,true,false,수상레저,false,2023-02-08T02:54:46.260Z,R,F,D,1.1.0_20230206
0,63e30f7f32f27972ae8786ad,null,null,null,b5786dd6-99a8-48c6-9247-3bda53aa7611,null,null,null,null,null,null,false,2023-02-08T02:57:03.240Z,null,null,null,1.1.0_20230206
0,63e30fa232f27972ae8786b0,null,HRV,2023-02-08T02:58:37.132Z,d3f4c600-8da4-4c48-9f69-7ad7f34934b3,false,null,false,false,false,아름다운 자연경관,false,2023-02-08T02:57:38.927Z,R,F,U,1.1.0_20230206
0,63e3119332f27972ae8786b6,old,TWN,2023-02-08T03:06:57.986Z,6579d107-674a-4b91-89dc-506803dffa68,true,true,null,true,null,왁자지껄한 야시장,false,2023-02-08T03:05:55.596Z,C,F,D,1.1.0_20230206
0,63e311a132f27972ae8786b8,old,CHN,2023-02-08T03:07:02.717Z,2c4f3521-17ad-40d2-bc48-885d23f55a6b,false,true,null,false,null,역사 탐방,false,2023-02-08T03:06:09.158Z,C,F,U,1.1.0_20230206
0,63e311c032f27972ae8786bb,null,MNG,2023-02-08T03:07:37.507Z,608db9c9-6345-4f33-99ee-60d010eaad4e,false,null,false,false,false,광활한 초원,false,2023-02-08T03:06:40.726Z,A,F,U,1.1.0_20230206
0,63e311f732f27972ae8786c4,null,GRC,2023-02-08T03:08:11.038Z,3ff4482c-7a5c-4ffb-bcf0-0386178748d2,false,null,false,false,false,색다른 건축물,false,2023-02-08T03:07:35.715Z,R,F,D,1.1.0_20230206
0,63e3123132f27972ae8786cc,new,HUN,2023-02-08T03:10:13.550Z,2309370c-d6cc-4e15-a9a7-ebbdc9a865c9,false,true,null,false,null,눈부신 야경,true,2023-02-08T03:08:33.682Z,C,F,U,1.1.0_20230206
0,63e3126532f27972ae8786ce,null,GTM,2023-02-08T03:10:23.535Z,d0995bcc-7ef5-4183-a425-f89a636d43d9,false,null,false,false,false,불타는 화산,false,2023-02-08T03:09:25.607Z,A,H,U,1.1.0_20230206
